"filename", "language", "Markdown", "Python", "TOML", "Docker", "pip requirements", "Batch", "Ini", "PowerShell", "Shell Script", "comment", "blank", "total"
"/home/jon/repos/charlie-reporting/demo/run_scripts/email_senders/simple_email_test.py", "Python", 0, 45, 0, 0, 0, 0, 0, 0, 0, 10, 15, 70
"/home/jon/repos/charlie-reporting/demo/run_scripts/focused_email_sender.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/demo/run_scripts/manual_test.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/demo/run_scripts/master_demo.py", "Python", 0, 229, 0, 0, 0, 0, 0, 0, 0, 36, 51, 316
"/home/jon/repos/charlie-reporting/demo/run_scripts/master_end_to_end_demo.py", "Python", 0, 266, 0, 0, 0, 0, 0, 0, 0, 57, 87, 410
"/home/jon/repos/charlie-reporting/demo/run_scripts/quick_auth_test.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/demo/run_scripts/quick_email_test.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/demo/run_scripts/setup_secure_email.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/demo/run_scripts/shared_utils.py", "Python", 0, 85, 0, 0, 0, 0, 0, 0, 0, 79, 26, 190
"/home/jon/repos/charlie-reporting/demo/run_scripts/simple_email_debug.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/demo/run_scripts/simple_email_test.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/demo/run_scripts/simple_password_test.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/demo/run_scripts/test_email.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/demo/run_scripts/test_single_csv.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/demo/run_scripts/testing/manual_test.py", "Python", 0, 102, 0, 0, 0, 0, 0, 0, 0, 8, 18, 128
"/home/jon/repos/charlie-reporting/demo/run_scripts/testing/quick_auth_test.py", "Python", 0, 31, 0, 0, 0, 0, 0, 0, 0, 9, 11, 51
"/home/jon/repos/charlie-reporting/demo/run_scripts/testing/test_email.bat", "Batch", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 6, 23
"/home/jon/repos/charlie-reporting/demo/run_scripts/testing/test_single_csv.py", "Python", 0, 71, 0, 0, 0, 0, 0, 0, 0, 79, 24, 174
"/home/jon/repos/charlie-reporting/demo_new_features.py", "Python", 0, 63, 0, 0, 0, 0, 0, 0, 0, 21, 20, 104
"/home/jon/repos/charlie-reporting/demos/demo_complete_integration.py", "Python", 0, 415, 0, 0, 0, 0, 0, 0, 0, 32, 13, 460
"/home/jon/repos/charlie-reporting/demos/demo_configuration_management.py", "Python", 0, 286, 0, 0, 0, 0, 0, 0, 0, 31, 76, 393
"/home/jon/repos/charlie-reporting/demos/demo_directory_scanning_feature.py", "Python", 0, 160, 0, 0, 0, 0, 0, 0, 0, 28, 51, 239
"/home/jon/repos/charlie-reporting/demos/demo_enhanced_excel_operations.py", "Python", 0, 257, 0, 0, 0, 0, 0, 0, 0, 34, 57, 348
"/home/jon/repos/charlie-reporting/demos/demo_multiple_outlook_accounts.py", "Python", 0, 199, 0, 0, 0, 0, 0, 0, 0, 40, 74, 313
"/home/jon/repos/charlie-reporting/demos/demo_real_time_hourly_processing.py", "Python", 0, 65, 0, 0, 0, 0, 0, 0, 0, 18, 23, 106
"/home/jon/repos/charlie-reporting/docs/README.md", "Markdown", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 99
"/home/jon/repos/charlie-reporting/docs/project-wiki/README.md", "Markdown", 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 171
"/home/jon/repos/charlie-reporting/docs/project-wiki/milestones.md", "Markdown", 160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 206
"/home/jon/repos/charlie-reporting/docs/sprint-reviews/2025-07-28-phase1-review.md", "Markdown", 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 202
