"filename", "language", "Python", "YAML", "Markdown", "pip requirements", "Ini", "Docker", "JSON", "Batch", "Shell Script", "PowerShell", "comment", "blank", "total"
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_senders/archive/email_sender_env.py", "Python", 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 45, 281
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_senders/archive/email_sender_fixed.py", "Python", 191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 49, 271
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_senders/archive/email_sender_oauth.py", "Python", 323, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 72, 445
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_senders/archive/email_sender_smtp.py", "Python", 352, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 53, 435
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_senders/archive/quick_email_test.py", "Python", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 18, 90
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_senders/archive/simple_email_debug.py", "Python", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16, 75
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_senders/cleanup_email_senders.py", "Python", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 11, 77
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_senders/focused_email_sender.py", "Python", 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 28, 144
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_senders/setup_secure_email.py", "Python", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 18, 107
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_senders/simple_email_test.py", "Python", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 16, 71
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/focused_email_sender.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/manual_test.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/master_demo.py", "Python", 226, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 53, 314
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/master_end_to_end_demo.py", "Python", 260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 87, 403
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/quick_auth_test.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/quick_email_test.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/setup_secure_email.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/shared_utils.py", "Python", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 37, 191
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/simple_email_debug.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/simple_email_test.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/simple_password_test.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/test_email.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/test_single_csv.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/testing/manual_test.py", "Python", 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 22, 128
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/testing/quick_auth_test.py", "Python", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 11, 50
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/testing/test_email.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 6, 23
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/testing/test_single_csv.py", "Python", 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 32, 173
"/home/jon/repos/charlie-reporting/archive/deprecated/rest_email_fetcher.py", "Python", 261, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 73, 395
"/home/jon/repos/charlie-reporting/archive/deprecated/windows_email_service.py", "Python", 267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 91, 400
"/home/jon/repos/charlie-reporting/archive/migration/README_old.md", "Markdown", 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 21, 98
"/home/jon/repos/charlie-reporting/archive/migration/legacy_bridge.py", "Python", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 15, 56
"/home/jon/repos/charlie-reporting/archive/migration/migration_report.md", "Markdown", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 13, 73
"/home/jon/repos/charlie-reporting/docs/README.md", "Markdown", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 38, 111
"/home/jon/repos/charlie-reporting/docs/api_framework.md", "Markdown", 0, 0, 261, 0, 0, 0, 0, 0, 0, 0, 0, 67, 328
"/home/jon/repos/charlie-reporting/docs/architecture/MULTI_REPO_STRUCTURE.md", "Markdown", 0, 0, 234, 0, 0, 0, 0, 0, 0, 0, 0, 39, 273
"/home/jon/repos/charlie-reporting/docs/architecture/PATHLIB_MIGRATION.md", "Markdown", 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 24, 95
"/home/jon/repos/charlie-reporting/docs/architecture/common_service_architecture.md", "Markdown", 0, 0, 515, 0, 0, 0, 0, 0, 0, 0, 0, 95, 610
"/home/jon/repos/charlie-reporting/docs/architecture/email_service_design.md", "Markdown", 0, 0, 165, 0, 0, 0, 0, 0, 0, 0, 0, 38, 203
"/home/jon/repos/charlie-reporting/docs/architecture/enterprise_architecture.md", "Markdown", 0, 0, 447, 0, 0, 0, 0, 0, 0, 0, 0, 82, 529
"/home/jon/repos/charlie-reporting/docs/architecture/implementation_roadmap.md", "Markdown", 0, 0, 254, 0, 0, 0, 0, 0, 0, 0, 0, 58, 312
"/home/jon/repos/charlie-reporting/docs/architecture/microservices_architecture.md", "Markdown", 0, 0, 286, 0, 0, 0, 0, 0, 0, 0, 0, 57, 343
"/home/jon/repos/charlie-reporting/docs/architecture/project_structure.md", "Markdown", 0, 0, 354, 0, 0, 0, 0, 0, 0, 0, 0, 25, 379
"/home/jon/repos/charlie-reporting/docs/architecture/tdd-optimized-architecture.md", "Markdown", 0, 0, 351, 0, 0, 0, 0, 0, 0, 0, 0, 104, 455
"/home/jon/repos/charlie-reporting/docs/cleanup-status-report.md", "Markdown", 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 26, 124
"/home/jon/repos/charlie-reporting/docs/deliverables/final-delivery-checklist.md", "Markdown", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 40, 108
"/home/jon/repos/charlie-reporting/docs/deliverables/final-phase2-assessment.md", "Markdown", 0, 0, 165, 0, 0, 0, 0, 0, 0, 0, 0, 81, 246
"/home/jon/repos/charlie-reporting/docs/deliverables/phase-2-5-final-deliverable.md", "Markdown", 0, 0, 141, 0, 0, 0, 0, 0, 0, 0, 0, 72, 213
"/home/jon/repos/charlie-reporting/docs/deliverables/phase-2-6-sprint-plan.md", "Markdown", 0, 0, 189, 0, 0, 0, 0, 0, 0, 0, 0, 71, 260
"/home/jon/repos/charlie-reporting/docs/deliverables/phase-2-final-deliverable.md", "Markdown", 0, 0, 191, 0, 0, 0, 0, 0, 0, 0, 0, 105, 296
"/home/jon/repos/charlie-reporting/docs/deliverables/phase2-final-summary.md", "Markdown", 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 62, 182
"/home/jon/repos/charlie-reporting/docs/development-diary.md", "Markdown", 0, 0, 373, 0, 0, 0, 0, 0, 0, 0, 0, 191, 564
"/home/jon/repos/charlie-reporting/docs/final-status-report.md", "Markdown", 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 68, 208
"/home/jon/repos/charlie-reporting/docs/migration-plan.md", "Markdown", 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 0, 57, 203
"/home/jon/repos/charlie-reporting/docs/phase-completion-summary.md", "Markdown", 0, 0, 217, 0, 0, 0, 0, 0, 0, 0, 0, 100, 317
"/home/jon/repos/charlie-reporting/docs/phase-plans/day-1-kickstart-guide.md", "Markdown", 0, 0, 156, 0, 0, 0, 0, 0, 0, 0, 0, 47, 203
"/home/jon/repos/charlie-reporting/docs/phase-plans/phase-2.5-completion-plan.md", "Markdown", 0, 0, 246, 0, 0, 0, 0, 0, 0, 0, 0, 99, 345
"/home/jon/repos/charlie-reporting/docs/phase-plans/phase-2.5-tactical-execution.md", "Markdown", 0, 0, 252, 0, 0, 0, 0, 0, 0, 0, 0, 80, 332
"/home/jon/repos/charlie-reporting/docs/phase-plans/phase-2.5-tactical-order.md", "Markdown", 0, 0, 212, 0, 0, 0, 0, 0, 0, 0, 0, 72, 284
"/home/jon/repos/charlie-reporting/docs/phase2-integration-complete.md", "Markdown", 0, 0, 133, 0, 0, 0, 0, 0, 0, 0, 0, 51, 184
"/home/jon/repos/charlie-reporting/docs/phase4-api-implementation-complete.md", "Markdown", 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 32, 137
"/home/jon/repos/charlie-reporting/docs/product-delivery-plan.md", "Markdown", 0, 0, 209, 0, 0, 0, 0, 0, 0, 0, 0, 101, 310
"/home/jon/repos/charlie-reporting/docs/project-wiki/README.md", "Markdown", 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 62, 192
"/home/jon/repos/charlie-reporting/docs/project-wiki/milestones.md", "Markdown", 0, 0, 160, 0, 0, 0, 0, 0, 0, 0, 0, 72, 232
"/home/jon/repos/charlie-reporting/docs/report-generator_cleanup.md", "Markdown", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 24, 82
"/home/jon/repos/charlie-reporting/docs/sprint-reviews/2025-07-28-phase1-review.md", "Markdown", 0, 0, 154, 0, 0, 0, 0, 0, 0, 0, 0, 70, 224
