"filename", "language", "Python", "YAML", "Markdown", "Ini", "pip requirements", "JSON", "Shell Script", "comment", "blank", "total"
"/home/jon/repos/charlie-reporting/.copilot-context.md", "Markdown", 0, 0, 20, 0, 0, 0, 0, 0, 4, 24
"/home/jon/repos/charlie-reporting/.flake8", "Ini", 0, 0, 0, 39, 0, 0, 0, 0, 10, 49
"/home/jon/repos/charlie-reporting/.github/workflows/ci.yml", "YAML", 0, 16, 0, 0, 0, 0, 0, 0, 1, 17
"/home/jon/repos/charlie-reporting/.pre-commit-config.yaml", "YAML", 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"/home/jon/repos/charlie-reporting/.pylintrc", "Ini", 0, 0, 0, 12, 0, 0, 0, 0, 5, 17
"/home/jon/repos/charlie-reporting/CONTRIBUTING.md", "Markdown", 0, 0, 48, 0, 0, 0, 0, 0, 16, 64
"/home/jon/repos/charlie-reporting/README.md", "Markdown", 0, 0, 29, 0, 0, 0, 0, 0, 12, 41
"/home/jon/repos/charlie-reporting/archive/debug/debug_fetch_recent.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 3, 3
"/home/jon/repos/charlie-reporting/archive/debug/debug_mock.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"/home/jon/repos/charlie-reporting/archive/debug/test_pathlib_changes.py", "Python", 0, 0, 0, 0, 0, 0, 0, -1, 0, -1
"/home/jon/repos/charlie-reporting/archive/demos/demo_new_features.py", "Python", -2, 0, 0, 0, 0, 0, 0, -1, 5, 2
"/home/jon/repos/charlie-reporting/archive/demos/fetch_csv_emails.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/demos/demo_complete_integration.py", "Python", -103, 0, 0, 0, 0, 0, 0, 21, 78, -4
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/demos/demo_configuration_management.py", "Python", -1, 0, 0, 0, 0, 0, 0, -1, -2, -4
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/demos/demo_directory_scanning_feature.py", "Python", -2, 0, 0, 0, 0, 0, 0, -1, 1, -2
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/demos/demo_enhanced_excel_operations.py", "Python", 0, 0, 0, 0, 0, 0, 0, -1, -1, -2
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/demos/demo_multiple_outlook_accounts.py", "Python", -1, 0, 0, 0, 0, 0, 0, -1, -1, -3
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/demos/demo_real_time_hourly_processing.py", "Python", 0, 0, 0, 0, 0, 0, 0, -1, 0, -1
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/data_generation/data_generator.py", "Python", -2, 0, 0, 0, 0, 0, 0, -1, 1, -2
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/debugging/simple_password_test.py", "Python", 0, 0, 0, 0, 0, 0, 0, -1, 1, 0
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_sender_auto.py", "Python", -87, 0, 0, 0, 0, 0, 0, 25, 57, -5
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_senders/archive/csv_email_sender.py", "Python", -25, 0, 0, 0, 0, 0, 0, 6, 19, 0
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_senders/archive/email_debug.py", "Python", -6, 0, 0, 0, 0, 0, 0, -12, 18, 0
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_senders/archive/email_sender.py", "Python", -13, 0, 0, 0, 0, 0, 0, -12, 24, -1
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_senders/archive/email_sender_auto.py", "Python", -87, 0, 0, 0, 0, 0, 0, 25, 57, -5
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_senders/archive/email_sender_env.py", "Python", -37, 0, 0, 0, 0, 0, 0, 12, 20, -5
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_senders/archive/email_sender_fixed.py", "Python", -13, 0, 0, 0, 0, 0, 0, -12, 24, -1
