"filename", "language", "Python", "Markdown", "pip requirements", "Docker", "Ini", "Batch", "JSON", "PowerShell", "Shell Script", "comment", "blank", "total"
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_sender_oauth.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_sender_smtp.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_senders/archive/csv_email_sender.py", "Python", 122, 0, 0, 0, 0, 0, 0, 0, 0, 12, 12, 146
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_senders/archive/email_debug.py", "Python", 88, 0, 0, 0, 0, 0, 0, 0, 0, 29, 15, 132
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_senders/archive/email_sender.py", "Python", 204, 0, 0, 0, 0, 0, 0, 0, 0, 43, 25, 272
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_senders/archive/email_sender_auto.py", "Python", 441, 0, 0, 0, 0, 0, 0, 0, 0, 34, 28, 503
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_senders/archive/email_sender_env.py", "Python", 236, 0, 0, 0, 0, 0, 0, 0, 0, 25, 25, 286
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_senders/archive/email_sender_fixed.py", "Python", 204, 0, 0, 0, 0, 0, 0, 0, 0, 43, 25, 272
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_senders/archive/email_sender_oauth.py", "Python", 362, 0, 0, 0, 0, 0, 0, 0, 0, 37, 51, 450
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_senders/archive/email_sender_smtp.py", "Python", 367, 0, 0, 0, 0, 0, 0, 0, 0, 23, 44, 434
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_senders/archive/quick_email_test.py", "Python", 65, 0, 0, 0, 0, 0, 0, 0, 0, 11, 13, 89
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_senders/archive/simple_email_debug.py", "Python", 53, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 74
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_senders/cleanup_email_senders.py", "Python", 51, 0, 0, 0, 0, 0, 0, 0, 0, 17, 10, 78
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_senders/focused_email_sender.py", "Python", 120, 0, 0, 0, 0, 0, 0, 0, 0, 13, 11, 144
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_senders/setup_secure_email.py", "Python", 79, 0, 0, 0, 0, 0, 0, 0, 0, 11, 15, 105
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_senders/simple_email_test.py", "Python", 45, 0, 0, 0, 0, 0, 0, 0, 0, 10, 15, 70
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/focused_email_sender.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/manual_test.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/master_demo.py", "Python", 229, 0, 0, 0, 0, 0, 0, 0, 0, 36, 51, 316
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/master_end_to_end_demo.py", "Python", 266, 0, 0, 0, 0, 0, 0, 0, 0, 57, 87, 410
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/quick_auth_test.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/quick_email_test.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/setup_secure_email.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/shared_utils.py", "Python", 85, 0, 0, 0, 0, 0, 0, 0, 0, 79, 26, 190
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/simple_email_debug.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/simple_email_test.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/simple_password_test.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/test_email.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/test_single_csv.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/testing/manual_test.py", "Python", 102, 0, 0, 0, 0, 0, 0, 0, 0, 8, 18, 128
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/testing/quick_auth_test.py", "Python", 31, 0, 0, 0, 0, 0, 0, 0, 0, 9, 11, 51
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/testing/test_email.bat", "Batch", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 6, 23
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/testing/test_single_csv.py", "Python", 71, 0, 0, 0, 0, 0, 0, 0, 0, 79, 24, 174
"/home/jon/repos/charlie-reporting/archive/deprecated/rest_email_fetcher.py", "Python", 264, 0, 0, 0, 0, 0, 0, 0, 0, 66, 72, 402
"/home/jon/repos/charlie-reporting/archive/deprecated/windows_email_service.py", "Python", 267, 0, 0, 0, 0, 0, 0, 0, 0, 42, 65, 374
"/home/jon/repos/charlie-reporting/archive/migration/README_old.md", "Markdown", 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 21, 98
"/home/jon/repos/charlie-reporting/archive/migration/legacy_bridge.py", "Python", 32, 0, 0, 0, 0, 0, 0, 0, 0, 11, 12, 55
"/home/jon/repos/charlie-reporting/archive/migration/migration_report.md", "Markdown", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 13, 73
"/home/jon/repos/charlie-reporting/docs/README.md", "Markdown", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 38, 111
"/home/jon/repos/charlie-reporting/docs/api_framework.md", "Markdown", 0, 261, 0, 0, 0, 0, 0, 0, 0, 0, 67, 328
"/home/jon/repos/charlie-reporting/docs/architecture/MULTI_REPO_STRUCTURE.md", "Markdown", 0, 234, 0, 0, 0, 0, 0, 0, 0, 0, 39, 273
"/home/jon/repos/charlie-reporting/docs/architecture/PATHLIB_MIGRATION.md", "Markdown", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 24, 95
"/home/jon/repos/charlie-reporting/docs/architecture/common_service_architecture.md", "Markdown", 0, 515, 0, 0, 0, 0, 0, 0, 0, 0, 95, 610
"/home/jon/repos/charlie-reporting/docs/architecture/email_service_design.md", "Markdown", 0, 165, 0, 0, 0, 0, 0, 0, 0, 0, 38, 203
"/home/jon/repos/charlie-reporting/docs/architecture/enterprise_architecture.md", "Markdown", 0, 447, 0, 0, 0, 0, 0, 0, 0, 0, 82, 529
"/home/jon/repos/charlie-reporting/docs/architecture/implementation_roadmap.md", "Markdown", 0, 254, 0, 0, 0, 0, 0, 0, 0, 0, 58, 312
"/home/jon/repos/charlie-reporting/docs/architecture/microservices_architecture.md", "Markdown", 0, 286, 0, 0, 0, 0, 0, 0, 0, 0, 57, 343
"/home/jon/repos/charlie-reporting/docs/architecture/project_structure.md", "Markdown", 0, 354, 0, 0, 0, 0, 0, 0, 0, 0, 25, 379
"/home/jon/repos/charlie-reporting/docs/architecture/tdd-optimized-architecture.md", "Markdown", 0, 351, 0, 0, 0, 0, 0, 0, 0, 0, 104, 455
"/home/jon/repos/charlie-reporting/docs/cleanup-status-report.md", "Markdown", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 26, 124
"/home/jon/repos/charlie-reporting/docs/deliverables/final-delivery-checklist.md", "Markdown", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 40, 108
"/home/jon/repos/charlie-reporting/docs/deliverables/final-phase2-assessment.md", "Markdown", 0, 165, 0, 0, 0, 0, 0, 0, 0, 0, 81, 246
"/home/jon/repos/charlie-reporting/docs/deliverables/phase-2-5-final-deliverable.md", "Markdown", 0, 141, 0, 0, 0, 0, 0, 0, 0, 0, 72, 213
"/home/jon/repos/charlie-reporting/docs/deliverables/phase-2-6-sprint-plan.md", "Markdown", 0, 189, 0, 0, 0, 0, 0, 0, 0, 0, 71, 260
"/home/jon/repos/charlie-reporting/docs/deliverables/phase-2-final-deliverable.md", "Markdown", 0, 191, 0, 0, 0, 0, 0, 0, 0, 0, 105, 296
"/home/jon/repos/charlie-reporting/docs/deliverables/phase2-final-summary.md", "Markdown", 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 62, 182
"/home/jon/repos/charlie-reporting/docs/development-diary.md", "Markdown", 0, 373, 0, 0, 0, 0, 0, 0, 0, 0, 191, 564
"/home/jon/repos/charlie-reporting/docs/migration-plan.md", "Markdown", 0, 146, 0, 0, 0, 0, 0, 0, 0, 0, 57, 203
