"filename", "language", "Python", "Markdown", "Ini", "pip requirements", "JSON", "PowerShell", "Batch", "Shell Script", "TOML", "comment", "blank", "total"
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_senders/archive/email_sender_fixed.py", "Python", 204, 0, 0, 0, 0, 0, 0, 0, 0, 43, 25, 272
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_senders/archive/email_sender_oauth.py", "Python", 362, 0, 0, 0, 0, 0, 0, 0, 0, 37, 51, 450
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_senders/archive/email_sender_smtp.py", "Python", 367, 0, 0, 0, 0, 0, 0, 0, 0, 23, 44, 434
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_senders/archive/quick_email_test.py", "Python", 65, 0, 0, 0, 0, 0, 0, 0, 0, 11, 13, 89
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_senders/archive/simple_email_debug.py", "Python", 53, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 74
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_senders/cleanup_email_senders.py", "Python", 51, 0, 0, 0, 0, 0, 0, 0, 0, 17, 10, 78
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_senders/focused_email_sender.py", "Python", 120, 0, 0, 0, 0, 0, 0, 0, 0, 13, 11, 144
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_senders/setup_secure_email.py", "Python", 79, 0, 0, 0, 0, 0, 0, 0, 0, 11, 15, 105
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_senders/simple_email_test.py", "Python", 45, 0, 0, 0, 0, 0, 0, 0, 0, 10, 15, 70
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/focused_email_sender.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/manual_test.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/master_demo.py", "Python", 229, 0, 0, 0, 0, 0, 0, 0, 0, 36, 51, 316
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/master_end_to_end_demo.py", "Python", 266, 0, 0, 0, 0, 0, 0, 0, 0, 57, 87, 410
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/quick_auth_test.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/quick_email_test.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/setup_secure_email.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/shared_utils.py", "Python", 85, 0, 0, 0, 0, 0, 0, 0, 0, 79, 26, 190
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/simple_email_debug.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/simple_email_test.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/simple_password_test.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/test_email.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/test_single_csv.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/testing/manual_test.py", "Python", 102, 0, 0, 0, 0, 0, 0, 0, 0, 8, 18, 128
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/testing/quick_auth_test.py", "Python", 31, 0, 0, 0, 0, 0, 0, 0, 0, 9, 11, 51
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/testing/test_email.bat", "Batch", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 6, 23
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/testing/test_single_csv.py", "Python", 71, 0, 0, 0, 0, 0, 0, 0, 0, 79, 24, 174
"/home/jon/repos/charlie-reporting/archive/deprecated/rest_email_fetcher.py", "Python", 264, 0, 0, 0, 0, 0, 0, 0, 0, 66, 72, 402
"/home/jon/repos/charlie-reporting/archive/deprecated/windows_email_service.py", "Python", 267, 0, 0, 0, 0, 0, 0, 0, 0, 42, 65, 374
"/home/jon/repos/charlie-reporting/archive/migration/README_old.md", "Markdown", 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 21, 98
"/home/jon/repos/charlie-reporting/archive/migration/legacy_bridge.py", "Python", 32, 0, 0, 0, 0, 0, 0, 0, 0, 11, 12, 55
"/home/jon/repos/charlie-reporting/archive/migration/migration_report.md", "Markdown", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 13, 73
"/home/jon/repos/charlie-reporting/common_service_architecture.md", "Markdown", 0, -471, 0, 0, 0, 0, 0, 0, 0, 0, -83, -554
"/home/jon/repos/charlie-reporting/config/config.toml", "TOML", 0, 0, 0, 0, 0, 0, 0, 0, -28, -4, -8, -40
"/home/jon/repos/charlie-reporting/config/settings.toml", "TOML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"/home/jon/repos/charlie-reporting/config_example_rest_architecture.toml", "TOML", 0, 0, 0, 0, 0, 0, 0, 0, -40, -17, -12, -69
"/home/jon/repos/charlie-reporting/convert_wsl2_to_windows.py", "Python", -407, 0, 0, 0, 0, 0, 0, 0, 0, -35, -46, -488
"/home/jon/repos/charlie-reporting/debug_email_time.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"/home/jon/repos/charlie-reporting/debug_fetch_recent.py", "Python", -61, 0, 0, 0, 0, 0, 0, 0, 0, -12, -19, -92
"/home/jon/repos/charlie-reporting/debug_mock.py", "Python", -26, 0, 0, 0, 0, 0, 0, 0, 0, -3, -8, -37
"/home/jon/repos/charlie-reporting/debug_transformer.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"/home/jon/repos/charlie-reporting/demo/README.md", "Markdown", 0, -166, 0, 0, 0, 0, 0, 0, 0, 0, -40, -206
"/home/jon/repos/charlie-reporting/demo/config.toml", "TOML", 0, 0, 0, 0, 0, 0, 0, 0, -42, -2, -9, -53
"/home/jon/repos/charlie-reporting/demo/run_scripts/csv_email_sender.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"/home/jon/repos/charlie-reporting/demo/run_scripts/data_generation/data_generator.py", "Python", -295, 0, 0, 0, 0, 0, 0, 0, 0, -53, -81, -429
"/home/jon/repos/charlie-reporting/demo/run_scripts/data_generator.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"/home/jon/repos/charlie-reporting/demo/run_scripts/debugging/simple_password_test.py", "Python", -72, 0, 0, 0, 0, 0, 0, 0, 0, -18, -19, -109
"/home/jon/repos/charlie-reporting/demo/run_scripts/email_debug.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"/home/jon/repos/charlie-reporting/demo/run_scripts/email_sender.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"/home/jon/repos/charlie-reporting/demo/run_scripts/email_sender_auto.py", "Python", -441, 0, 0, 0, 0, 0, 0, 0, 0, -34, -28, -503
"/home/jon/repos/charlie-reporting/demo/run_scripts/email_sender_env.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"/home/jon/repos/charlie-reporting/demo/run_scripts/email_sender_oauth.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"/home/jon/repos/charlie-reporting/demo/run_scripts/email_sender_smtp.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"/home/jon/repos/charlie-reporting/demo/run_scripts/email_senders/archive/csv_email_sender.py", "Python", -122, 0, 0, 0, 0, 0, 0, 0, 0, -12, -12, -146
"/home/jon/repos/charlie-reporting/demo/run_scripts/email_senders/archive/email_debug.py", "Python", -88, 0, 0, 0, 0, 0, 0, 0, 0, -29, -15, -132
